"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Full Configuration","Predicted Performance (if available)",
"0.0"," 1.7976931348623157E308","0.0","1","0.0", " x1='2.5', x2='7.5'","NaN"
"0.44525466999999996"," 24.129964","0.784","1","0.346041366", " x1='2.5', x2='7.5'","NaN"
"0.9197886470000002"," 14.294932","1.265","3","0.620359928", " x1='2.3958936195439593', x2='6.29716995944291'","24.129964"
"2.370174689"," 6.837686","2.24","15","0.8706864900000001", " x1='3.636083398739455', x2='4.2208610162197635'","53.78673214861111"
"6.717159560999997"," 3.678483","4.895","53","1.4175744289999996", " x1='-2.401042985326928', x2='11.441217353592283'","100.8325357125"
"8.261534220999993"," 1.563914","5.852","66","1.661836906", " x1='9.90880333259238', x2='3.164591591579607'","36.0473132"
"8.477272446999992"," 0.854317","5.974","68","1.677671262", " x1='9.65091987856499', x2='3.1327394398487614'","36.0473132"
"8.69237197899999"," 0.815165","6.087","70","1.6928537760000002", " x1='9.719406923623499', x2='2.675392766222899'","36.61562976666666"
"9.33586982699999"," 0.724583","6.427","76","1.7361876180000002", " x1='9.656479793493984', x2='2.9421411006220524'","36.61562976666666"
"12.12095376599998"," 0.724583","8.137","76","2.1212284669999995", " x1='9.656479793493984', x2='2.9421411006220524'","1.4208512277777778"
