1: x1='2.5', x2='7.5'
2: x1='0.8272000275287112', x2='9.163829440705728'
3: x1='2.3958936195439593', x2='6.29716995944291'
4: x1='-0.6709526832452708', x2='4.2178720688230795'
5: x1='-0.5479158724164197', x2='12.908623685249154'
6: x1='7.638035377587489', x2='3.4780111483672176'
7: x1='-3.717635515810228', x2='9.215106590089663'
8: x1='-4.208761440078262', x2='4.0834968496271955'
9: x1='-0.21794584418202856', x2='3.454355575124807'
10: x1='7.1265149672802846', x2='14.960460979413995'
11: x1='-3.3259838037531573', x2='5.768340750392767'
12: x1='5.0289592644652465', x2='12.901536794574815'
13: x1='4.873527635217316', x2='5.52198581295636'
14: x1='1.028359953850881', x2='7.495427990463835'
15: x1='3.636083398739455', x2='4.2208610162197635'
16: x1='-1.1856856583179', x2='13.200772300028031'
17: x1='5.713765850849642', x2='0.800378636474276'
18: x1='3.4906264140724232', x2='6.256600101999773'
19: x1='4.556637938311649', x2='5.666229552688719'
20: x1='1.2975665671487926', x2='11.764069855018745'
21: x1='3.2438545629791573', x2='6.422853838657544'
22: x1='7.126811212864631', x2='12.922434659755574'
23: x1='-3.9993138145001446', x2='4.546676399129937'
24: x1='7.837874104805339', x2='8.517359733982893'
25: x1='-3.9100501403339716', x2='2.022610136395995'
26: x1='-0.8693495405686349', x2='4.549612328857006'
27: x1='-3.9667664859714686', x2='4.847905403426408'
28: x1='-2.046647910634899', x2='5.86918694648635'
29: x1='-4.000940703083426', x2='2.2550764497946494'
30: x1='6.489751967358361', x2='2.259191358839022'
31: x1='-3.9541132775521954', x2='2.6060083321345386'
32: x1='4.631633617375783', x2='10.266244900274039'
33: x1='7.119196308726451', x2='0.9955808228324703'
34: x1='7.949062357898326', x2='1.2308806914584847'
35: x1='7.318259412447537', x2='3.7704310622306596'
36: x1='2.486299483586551', x2='13.75001214452681'
37: x1='7.579022788199538', x2='4.001049051595739'
38: x1='1.1006699086165792', x2='1.6113330358366889'
39: x1='7.620188770813826', x2='0.26659987335878044'
40: x1='-3.986573825888489', x2='1.5120227509154565'
41: x1='7.352330723987169', x2='3.4262069522617864'
42: x1='6.579209361051172', x2='6.925830512747526'
43: x1='7.443705844076945', x2='3.286542767502096'
44: x1='-3.7686465204065085', x2='7.599594895858966'
45: x1='2.0362942112594578', x2='13.599009633143575'
46: x1='-3.7618817520381476', x2='7.276495302577535'
47: x1='6.61399362411535', x2='4.570200824153186'
48: x1='-3.769075709848826', x2='7.477901795872689'
49: x1='5.967580146300671', x2='3.6427164910744256'
50: x1='-3.7671694238327658', x2='7.874568429834842'
51: x1='4.5310532419825496', x2='3.0967551263750996'
52: x1='-3.7543024974031285', x2='8.670458104017419'
53: x1='-2.401042985326928', x2='11.441217353592283'
54: x1='-3.770677341944803', x2='7.761175634339045'
55: x1='-3.7947401125281632', x2='1.8667640964118637'
56: x1='7.824688158451011', x2='12.78233481698058'
57: x1='-3.7892471740531954', x2='0.3136731024524042'
58: x1='2.3030301651720055', x2='14.967274908990378'
59: x1='-3.7968097752153867', x2='1.097625293497531'
60: x1='9.938286075200843', x2='14.444346546865773'
61: x1='-3.7963331459187977', x2='3.9928189964684484'
62: x1='9.631841998938308', x2='13.322797931023931'
63: x1='4.433491737848717', x2='6.500914925156718'
64: x1='-2.7183519851301026', x2='6.795772221375091'
65: x1='9.626634559773201', x2='6.581530006880655'
66: x1='9.90880333259238', x2='3.164591591579607'
67: x1='-2.2709854824258646', x2='6.949980574369844'
68: x1='9.65091987856499', x2='3.1327394398487614'
69: x1='2.2489329103849194', x2='6.733625132304011'
70: x1='9.719406923623499', x2='2.675392766222899'
71: x1='2.0123916213924122', x2='9.182399719222127'
72: x1='9.795671744688704', x2='0.22449478092231356'
73: x1='-0.6864575000536313', x2='3.6643832786814787'
74: x1='9.798087883366101', x2='0.7935910231709314'
75: x1='0.10454650806385057', x2='12.53547090021615'
76: x1='9.656479793493984', x2='2.9421411006220524'
77: x1='9.947884244658255', x2='3.0539688106143474'
78: x1='-2.813117172513293', x2='11.351469831813183'
79: x1='9.955621611595454', x2='3.2187224543577764'
80: x1='1.003656583486931', x2='10.391467269630192'
81: x1='9.939550645238443', x2='3.087660227484508'
82: x1='8.23048186365146', x2='4.049576554630602'
83: x1='9.952813568059755', x2='0.4574710567500778'
84: x1='5.9694429693087585', x2='7.842709269751168'
85: x1='9.944626702691165', x2='1.9947871282855578'
86: x1='-3.173526726884159', x2='13.379783303876568'
87: x1='9.968120153687106', x2='0.8862098432310406'
88: x1='-3.772076202139977', x2='11.582671952982686'
89: x1='7.666942731025122', x2='7.638992507831441'
90: x1='9.71047776021785', x2='11.478826574199866'
91: x1='9.694200444730177', x2='3.8021849141681585'
92: x1='9.814864148450985', x2='11.482826536918814'
93: x1='3.2788547632874216', x2='5.501601039889059'
94: x1='9.854789662181606', x2='11.481118752627003'
95: x1='5.474162451435355', x2='11.715149158003527'
96: x1='9.698086648691802', x2='11.564712652563276'
97: x1='-1.6024231258392407', x2='5.825369156822342'
98: x1='9.994173857505583', x2='11.481957475173617'
99: x1='1.3879163805681571', x2='11.30768592018909'
100: x1='3.2894927335910236', x2='6.5589488562126785'
