Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,24.129964,0,1.7976931348623157E308,-1,0.0,0.0,1,24.129964,0,0.0,SAT,,0.511,
2,2,1,35.78939,0,1.7976931348623157E308,-1,0.0,0.0,1,35.78939,1,0.0,SAT,,0.036,
3,3,1,14.294932,0,1.7976931348623157E308,-1,0.0,0.0,1,14.294932,1,0.0,SAT,,0.035,
4,4,1,25.977928,0,1.7976931348623157E308,-1,0.0,0.0,1,25.977928,1,0.0,SAT,,0.032,
5,5,1,54.170153,0,1.7976931348623157E308,-1,0.0,0.0,1,54.170153,1,0.0,SAT,,0.032,
6,6,1,16.458023,0,1.7976931348623157E308,-1,0.0,0.0,1,16.458023,1,0.0,SAT,,0.04,
7,7,1,22.081759,0,1.7976931348623157E308,-1,0.0,0.0,1,22.081759,1,0.0,SAT,,0.03,
8,8,1,124.247635,0,1.7976931348623157E308,-1,0.0,0.0,1,124.247635,1,0.0,SAT,,0.034,
9,9,1,27.777147,0,1.7976931348623157E308,-1,0.0,0.0,1,27.777147,1,0.0,SAT,,0.037,
10,10,1,205.220637,0,1.7976931348623157E308,-1,0.0,0.0,1,205.220637,1,0.0,SAT,,0.031,
11,11,1,48.921388,0,1.7976931348623157E308,-1,0.0,0.0,1,48.921388,1,0.0,SAT,,0.031,
12,12,1,148.437904,0,1.7976931348623157E308,-1,0.0,0.0,1,148.437904,1,0.0,SAT,,0.031,
13,13,1,29.265944,0,1.7976931348623157E308,-1,0.0,0.0,1,29.265944,2,0.0,SAT,,0.027,
14,14,1,23.92985,0,1.7976931348623157E308,-1,0.0,0.0,1,23.92985,2,0.0,SAT,,0.03,
15,15,1,6.837686,0,1.7976931348623157E308,-1,0.0,0.0,1,6.837686,2,0.0,SAT,,0.029,
16,16,1,39.9454,0,1.7976931348623157E308,-1,0.0,0.0,1,39.9454,2,0.0,SAT,,0.027,
17,17,1,18.191611,0,1.7976931348623157E308,-1,0.0,0.0,1,18.191611,2,0.0,SAT,,0.034,
18,18,1,18.938008,0,1.7976931348623157E308,-1,0.0,0.0,1,18.938008,2,0.0,SAT,,0.028,
19,19,1,26.454981,0,1.7976931348623157E308,-1,0.0,0.0,1,26.454981,2,0.0,SAT,,0.027,
20,20,1,70.529128,0,1.7976931348623157E308,-1,0.0,0.0,1,70.529128,2,0.0,SAT,,0.028,
21,21,1,18.309263,0,1.7976931348623157E308,-1,0.0,0.0,1,18.309263,2,0.0,SAT,,0.027,
22,22,1,153.358275,0,1.7976931348623157E308,-1,0.0,0.0,1,153.358275,2,0.0,SAT,,0.027,
23,23,1,101.425401,0,1.7976931348623157E308,-1,0.0,0.0,1,101.425401,3,0.0,SAT,,0.034,
24,24,1,59.936519,0,1.7976931348623157E308,-1,0.0,0.0,1,59.936519,3,0.0,SAT,,0.03,
25,25,1,151.338169,0,1.7976931348623157E308,-1,0.0,0.0,1,151.338169,3,0.0,SAT,,0.032,
26,26,1,24.790948,0,1.7976931348623157E308,-1,0.0,0.0,1,24.790948,3,0.0,SAT,,0.034,
27,27,1,93.700467,0,1.7976931348623157E308,-1,0.0,0.0,1,93.700467,3,0.0,SAT,,0.032,
28,28,1,21.040542,0,1.7976931348623157E308,-1,0.0,0.0,1,21.040542,3,0.0,SAT,,0.033,
29,29,1,152.096105,0,1.7976931348623157E308,-1,0.0,0.0,1,152.096105,3,0.0,SAT,,0.029,
30,30,1,20.713827,0,1.7976931348623157E308,-1,0.0,0.0,1,20.713827,3,0.0,SAT,,0.028,
31,31,1,140.449816,0,1.7976931348623157E308,-1,0.0,0.0,1,140.449816,3,0.0,SAT,,0.027,
32,32,1,87.839335,0,1.7976931348623157E308,-1,0.0,0.0,1,87.839335,3,0.0,SAT,,0.03,
33,33,1,16.486506,0,1.7976931348623157E308,-1,0.0,0.0,1,16.486506,4,0.0,SAT,,0.03,
34,34,1,9.167165,0,1.7976931348623157E308,-1,0.0,0.0,1,9.167165,4,0.0,SAT,,0.037,
35,35,1,21.146907,0,1.7976931348623157E308,-1,0.0,0.0,1,21.146907,4,0.0,SAT,,0.025,
36,36,1,121.382211,0,1.7976931348623157E308,-1,0.0,0.0,1,121.382211,4,0.0,SAT,,0.03,
37,37,1,19.591834,0,1.7976931348623157E308,-1,0.0,0.0,1,19.591834,4,0.0,SAT,,0.046,
38,38,1,22.152831,0,1.7976931348623157E308,-1,0.0,0.0,1,22.152831,4,0.0,SAT,,0.033,
39,39,1,13.449706,0,1.7976931348623157E308,-1,0.0,0.0,1,13.449706,4,0.0,SAT,,0.032,
40,40,1,169.673225,0,1.7976931348623157E308,-1,0.0,0.0,1,169.673225,4,0.0,SAT,,0.032,
41,41,1,19.216317,0,1.7976931348623157E308,-1,0.0,0.0,1,19.216317,4,0.0,SAT,,0.031,
42,42,1,52.883497,0,1.7976931348623157E308,-1,0.0,0.0,1,52.883497,4,0.0,SAT,,0.027,
43,43,1,17.732977,0,1.7976931348623157E308,-1,0.0,0.0,1,17.732977,4,0.0,SAT,,0.029,
44,44,1,41.076889,0,1.7976931348623157E308,-1,0.0,0.0,1,41.076889,5,0.0,SAT,,0.027,
45,45,1,111.866659,0,1.7976931348623157E308,-1,0.0,0.0,1,111.866659,5,0.0,SAT,,0.045,
46,46,1,44.944042,0,1.7976931348623157E308,-1,0.0,0.0,1,44.944042,5,0.0,SAT,,0.027,
47,47,1,30.953189,0,1.7976931348623157E308,-1,0.0,0.0,1,30.953189,5,0.0,SAT,,0.026,
48,48,1,42.625177,0,1.7976931348623157E308,-1,0.0,0.0,1,42.625177,5,0.0,SAT,,0.026,
49,49,1,25.578918,0,1.7976931348623157E308,-1,0.0,0.0,1,25.578918,5,0.0,SAT,,0.027,
50,50,1,37.671142,0,1.7976931348623157E308,-1,0.0,0.0,1,37.671142,5,0.0,SAT,,0.027,
51,51,1,11.010442,0,1.7976931348623157E308,-1,0.0,0.0,1,11.010442,5,0.0,SAT,,0.027,
52,52,1,28.41562,0,1.7976931348623157E308,-1,0.0,0.0,1,28.41562,5,0.0,SAT,,0.026,
53,53,1,3.678483,0,1.7976931348623157E308,-1,0.0,0.0,1,3.678483,5,0.0,SAT,,0.027,
54,54,1,39.163432,0,1.7976931348623157E308,-1,0.0,0.0,1,39.163432,5,0.0,SAT,,0.037,
55,55,1,147.167718,0,1.7976931348623157E308,-1,0.0,0.0,1,147.167718,6,0.0,SAT,,0.041,
56,56,1,138.566198,0,1.7976931348623157E308,-1,0.0,0.0,1,138.566198,6,0.0,SAT,,0.029,
57,57,1,186.541032,0,1.7976931348623157E308,-1,0.0,0.0,1,186.541032,6,0.0,SAT,,0.03,
58,58,1,146.322794,0,1.7976931348623157E308,-1,0.0,0.0,1,146.322794,6,0.0,SAT,,0.027,
59,59,1,166.417843,0,1.7976931348623157E308,-1,0.0,0.0,1,166.417843,6,0.0,SAT,,0.026,
60,60,1,133.935226,0,1.7976931348623157E308,-1,0.0,0.0,1,133.935226,6,0.0,SAT,,0.027,
61,61,1,100.612633,0,1.7976931348623157E308,-1,0.0,0.0,1,100.612633,6,0.0,SAT,,0.027,
62,62,1,114.400609,0,1.7976931348623157E308,-1,0.0,0.0,1,114.400609,6,0.0,SAT,,0.026,
63,63,1,32.534947,0,1.7976931348623157E308,-1,0.0,0.0,1,32.534947,6,0.0,SAT,,0.03,
64,64,1,21.362352,0,1.7976931348623157E308,-1,0.0,0.0,1,21.362352,6,0.0,SAT,,0.029,
65,65,1,16.045577,0,1.7976931348623157E308,-1,0.0,0.0,1,16.045577,6,0.0,SAT,,0.026,
66,66,1,1.563914,0,1.7976931348623157E308,-1,0.0,0.0,1,1.563914,7,0.0,SAT,,0.056,
67,67,1,14.906043,0,1.7976931348623157E308,-1,0.0,0.0,1,14.906043,7,0.0,SAT,,0.028,
68,68,1,0.854317,0,1.7976931348623157E308,-1,0.0,0.0,1,0.854317,7,0.0,SAT,,0.03,
69,69,1,17.36839,0,1.7976931348623157E308,-1,0.0,0.0,1,17.36839,7,0.0,SAT,,0.026,
70,70,1,0.815165,0,1.7976931348623157E308,-1,0.0,0.0,1,0.815165,7,0.0,SAT,,0.027,
71,71,1,40.259967,0,1.7976931348623157E308,-1,0.0,0.0,1,40.259967,7,0.0,SAT,,0.029,
72,72,1,7.713042,0,1.7976931348623157E308,-1,0.0,0.0,1,7.713042,7,0.0,SAT,,0.026,
73,73,1,29.600475,0,1.7976931348623157E308,-1,0.0,0.0,1,29.600475,7,0.0,SAT,,0.028,
74,74,1,5.116662,0,1.7976931348623157E308,-1,0.0,0.0,1,5.116662,7,0.0,SAT,,0.027,
